date,ndvi
2009-03-01,0.478
2009-03-16,0.424
2009-04-01,0.478
2009-04-16,0.421
2009-05-01,0.41
2009-05-16,0.444
2009-06-01,0.522
2009-06-16,0.494
2009-07-01,0.502
2009-07-16,0.534
2009-08-01,0.565
2009-08-16,0.631
2009-09-01,0.549
2009-09-16,0.66
2009-10-01,0.686
2009-10-16,0.672
2009-11-01,0.635
2009-11-16,0.61
2009-12-01,0.533
2009-12-16,0.529
2010-01-01,0.539
2010-01-16,0.523
2010-02-01,0.485
2010-02-16,0.51
2010-03-01,0.511
2010-03-16,0.455
2010-04-01,0.459
2010-04-16,0.462
2010-05-01,0.462
2010-05-16,0.49
2010-06-01,0.508
2010-06-16,0.474
2010-07-01,0.498
2010-07-16,0.54
2010-08-01,0.539
2010-08-16,0.546
2010-09-01,0.552
2010-09-16,0.616
2010-10-01,0.678
2010-10-16,0.64
2010-11-01,0.62
2010-11-16,0.597
2010-12-01,0.605
2010-12-16,0.561
2011-01-01,0.534
2011-01-16,0.53
2011-02-01,0.53
2011-02-16,0.497
2011-03-01,0.477
2011-03-16,0.472
2011-04-01,0.42
2011-04-16,0.436
2011-05-01,0.481
2011-05-16,0.504
2011-06-01,0.567
2011-06-16,0.507
2011-07-01,0.481
2011-07-16,0.52
2011-08-01,0.499
2011-08-16,0.548
2011-09-01,0.654
2011-09-16,0.659
2011-10-01,0.674
2011-10-16,0.642
2011-11-01,0.557
2011-11-16,0.528
2011-12-01,0.562
2011-12-16,0.534
2012-01-01,0.506
2012-01-16,0.498
2012-02-01,0.492
2012-02-16,0.466
2012-03-01,0.445
2012-03-16,0.424
2012-04-01,0.403
2012-04-16,0.399
2012-05-01,0.416
2012-05-16,0.441
2012-06-01,0.422
2012-06-16,0.404
2012-07-01,0.413
2012-07-16,0.492
2012-08-01,0.551
2012-08-16,0.598
2012-09-01,0.643
2012-09-16,0.706
2012-10-01,0.71
2012-10-16,0.656
2012-11-01,0.63
2012-11-16,0.602
2012-12-01,0.571
2012-12-16,0.532
2013-01-01,0.521
2013-01-16,0.52
2013-02-01,0.495
2013-02-16,0.486
2013-03-01,0.487
2013-03-16,0.501
2013-04-01,0.492
2013-04-16,0.489
2013-05-01,0.494
2013-05-16,0.484
2013-06-01,0.44
2013-06-16,0.443
2013-07-01,0.514
2013-07-16,0.551
2013-08-01,0.531
2013-08-16,0.551
2013-09-01,0.608
2013-09-16,0.637
2013-10-01,0.62
2013-10-16,0.615
2013-11-01,0.62
2013-11-16,0.603
2013-12-01,0.596
2013-12-16,0.55
